"clip_name","kick_time_s","kick_frame"
"2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H2_001948s.mp4","5.720000","143"
"2016-11-27_-_22-45_AS_Roma_3_-_2_Pescara_H2_001501s.mp4","5.720000","143"
"2016-12-04_-_14-30_AC_Milan_2_-_1_Crotone_H2_000460s.mp4","5.760000","144"
"2017-01-15_-_17-00_Napoli_3_-_1_Pescara_H2_002922s.mp4","5.480000","137"
"2017-01-15_-_17-00_Udinese_0_-_1_AS_Roma_H1_001048s.mp4","5.800000","145"
"2017-01-15_-_22-45_Sevilla_2_-_1_Real_Madrid_H2_001293s.mp4","5.600000","140"
"2017-02-04_-_22-45_Bologna_1_-_7_Napoli_H1_001504s.mp4","5.520000","138"
"2017-02-12_-_14-30_Crotone_0_-_2_AS_Roma_H1_001003s.mp4","5.840000","146"
"2017-02-19_-_22-45_Barcelona_2_-_1_Leganes_H2_002644s.mp4","5.200000","130"
"2017-02-26_-_22-45_Inter_1_-_3_AS_Roma_H2_002396s.mp4","5.320000","133"
"2017-02-26_-_22-45_Villarreal_2_-_3_Real_Madrid_H2_001721s.mp4","5.160000","129"
"2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_000619s.mp4","5.440000","136"
"2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_002456s.mp4","5.760000","144"
"2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H1_001853s.mp4","5.360000","134"
"2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H2_001207s.mp4","5.480000","137"
"2017-03-19_-_22-45_Barcelona_4_-_2_Valencia_H1_002669s.mp4","5.200000","130"
"2017-04-26_-_20-30_Barcelona_7_-_1_Osasuna_H2_001300s.mp4","5.760000","144"
"2017-04-29_-_17-15_Real_Madrid_2_-_1_Valencia_H2_000663s.mp4","5.920000","148"
"2017-04-30_-_13-30_AS_Roma_1_-_3_Lazio_H1_002693s.mp4","5.960000","149"
"2017-05-07_-_21-45_AC_Milan_1_-_4_AS_Roma_H2_002478s.mp4","5.240000","131"
"2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001476s.mp4","5.480000","137"
"2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001786s.mp4","9.960000","249"
"Extra Pen 1.mp4","3.200000","96"
"Extra Pen 2.mp4","0.000000","0"
"Extra Pen 3.mp4","0.000000","0"
"Video Project 1.mp4","4.633000","139"
"Video Project 10.mp4","3.233000","97"
"Video Project 11.mp4","3.467000","104"
"Video Project 12.mp4","2.800000","84"
"Video Project 13.mp4","3.433000","103"
"Video Project 14.mp4","2.900000","87"
"Video Project 15.mp4","3.700000","111"
"Video Project 16.mp4","3.900000","117"
"Video Project 17.mp4","1.967000","59"
"Video Project 18.mp4","3.933000","118"
"Video Project 19.mp4","3.800000","114"
"Video Project 2.mp4","1.466667","44"
"Video Project 20.mp4","1.733000","52"
"Video Project 21.mp4","2.500000","75"
"Video Project 22.mp4","1.733000","52"
"Video Project 23.mp4","2.333667","70"
"Video Project 24.mp4","2.133667","64"
"Video Project 25.mp4","3.767000","113"
"Video Project 26.mp4","2.433000","73"
"Video Project 27.mp4","1.933000","58"
"Video Project 28.mp4","2.133000","64"
"Video Project 3.mp4","1.400000","42"
"Video Project 4.mp4","1.033333","31"
"Video Project 6.mp4","1.700000","51"
"Video Project 7.mp4","4.433667","133"
"Video Project 8.mp4","1.733667","52"
"Video Project 9.mp4","3.133000","94"
